Job Title,Company,Location,Posted,Tags,Job URL
AI Engineer - Travel Tech,Rahala -,"Mohandessin, Giza, Egypt",N/A,"AI Engineer - Travel Tech, Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/3rtefauicveg-ai-engineer-travel-tech-rahala-giza-egypt
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt",17 days ago,"Data Scientist, Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/bu1ksr9tke5x-data-scientist-lumin-giza-egypt
Data Scientist,Egabi FSI -,"Sheraton, Cairo, Egypt",20 days ago,"Data Scientist, Entry Level, · IT/Software Development, · Engineering - Telecom/Technology",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/8oulgynroyag-data-scientist-egabi-fsi-cairo-egypt
Graduate Internship: Enterprise Software Engineering,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt",16 days ago,"Graduate Internship: Enterprise Software Engineering, Entry Level, · IT/Software Development",https://wuzzuf.nethttps://wuzzuf.net/internship/2tshmlfj3ha9-graduate-internship-enterprise-software-engineering-et3-tomorrow-information-technology-cairo-egypt
AI Engineer,ProVision Group -,"Maadi, Cairo, Egypt",22 days ago,"AI Engineer, Experienced, · IT/Software Development",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/qgconbaaa2gf-ai-engineer-provision-group-cairo-egypt
Machine Learning Engineer,EPAM Systems -,"Dubai, United Arab Emirates",N/A,"Machine Learning Engineer, Experienced, · IT/Software Development, · Engineering - Telecom/Technology, · Engineering - Mechanical/Electrical",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g/z7rfyjxlti9q-machine-learning-engineer-epam-systems-dubai-united-arab-emirates
Machine Learning Engineer,Mozn -,"Riyadh, Saudi Arabia",N/A,"Machine Learning Engineer, Entry Level, · IT/Software Development, · Engineering - Telecom/Technology, · Engineering - Mechanical/Electrical",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g/ql9dl2o7fvqp-machine-learning-engineer-mozn-riyadh-saudi-arabia
"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",Madar Soft -,"Fleming, Alexandria, Egypt",2 months ago,"AI Engineer (Computer Vision, Speech, NLP & Generative AI), Experienced, · IT/Software Development, · Engineering - Telecom/Technology",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gofovnetfvvf-ai-engineer-computer-vision-speech-nlp-generative-ai-madar-soft-alexandria-egypt
Learning & Development Specialist,Sungrow MENA & Central Asia -,"Dubai, United Arab Emirates",N/A,"Learning & Development Specialist, Experienced, · IT/Software Development, · Engineering - Telecom/Technology, · Education/Teaching",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g/cm43p9rhipae-learning-development-specialist-sungrow-mena-central-asia-dubai-united-arab-emirates
Learning & Development Manager - LXR Eastern Mangroves Abu Dhabi (Pre-Opening),Hilton -,"Dubai, United Arab Emirates",N/A,"Learning & Development Manager - LXR Eastern Mangroves Abu Dhabi (Pre-Opening), Entry Level, · IT/Software Development, · Engineering - Telecom/Technology, · Education/Teaching",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g/snvh4r7pgt6y-learning-development-manager-lxr-eastern-mangroves-abu-dhabi-pre-opening-hilton-dubai-united-arab-emirates
3D Printer Maintenance Technician,Gazelle 3D Tech -,"6th of October, Giza, Egypt",1 month ago,"3D Printer Maintenance Technician, Experienced, · Installation/Maintenance/Repair",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/mgyqxkoukqrd-3d-printer-maintenance-technician-gazelle-3d-tech-giza-egypt
Senior Data Analyst,Xceed Contact Center -,"Cairo, Egypt",16 days ago,"Senior Data Analyst, Experienced, · Analyst/Research, · Engineering - Telecom/Technology",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kbzexl37bjxb-senior-data-analyst-xceed-contact-center-cairo-egypt
AI Engineer - Client Engineering KSA,IBM -,"Riyadh, Saudi Arabia",N/A,"AI Engineer - Client Engineering KSA, Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g/ydi2ozmjvesu-ai-engineer-client-engineering-ksa-ibm-riyadh-saudi-arabia
MLOps Engineer,Confidential -,"Cairo, Egypt",N/A,"MLOps Engineer, Experienced, · IT/Software Development",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kd6ggaj87pxm-mlops-engineer-cairo-egypt
Software Engineer (AI & Data Analytics),AlZamel for consultation -,"Maadi, Cairo, Egypt",N/A,"Software Engineer (AI & Data Analytics), Experienced, · IT/Software Development, · Engineering - Telecom/Technology",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hllsrabdljox-software-engineer-ai-data-analytics-alzamel-for-consultation-cairo-egypt
