Job Title,Company,Location,Posted,Skills / Qualifications
AI Engineer - Travel Tech,Rahala -,"Mohandessin, Giza, Egypt",N/A,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Computer Science · Data Science · Engineering · Information Technology (IT) · Machine Learning · Python
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt",17 days ago,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT)
Data Scientist,Egabi FSI -,"Sheraton, Cairo, Egypt",20 days ago,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL
Graduate Internship: Enterprise Software Engineering,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt",16 days ago,InternshipHybridEntry Level · IT/Software Development · Computer Science · Software Development · Software Engineering · Computer Engineering · Back-End Development · Front-End Development · front-end web development · Software Testing · Data Engineering
AI Engineer,ProVision Group -,"Maadi, Cairo, Egypt",22 days ago,Full TimePart TimeFreelance / ProjectHybridExperienced · 2 - 7 Yrs of Exp · IT/Software Development · AI · Computer Vision · Data Science · Machine Learning
Machine Learning Engineer,EPAM Systems -,"Dubai, United Arab Emirates",N/A,Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Machine Learning · Computer Science · Information Technology (IT) · Python · Software Engineering · Computer Engineering · Engineering
Machine Learning Engineer,Mozn -,"Riyadh, Saudi Arabia",N/A,Full TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Machine Learning · Computer Science · Information Technology (IT) · Python · Software Engineering · Computer Engineering · Engineering
"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",Madar Soft -,"Fleming, Alexandria, Egypt",2 months ago,Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · AI · NLP · Engineering · Information Technology (IT) · CUDA · Linux · Computer Science
Learning & Development Specialist,Sungrow MENA & Central Asia -,"Dubai, United Arab Emirates",N/A,Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Learning & Development Manager - LXR Eastern Mangroves Abu Dhabi (Pre-Opening),Hilton -,"Dubai, United Arab Emirates",N/A,Full TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
3D Printer Maintenance Technician,Gazelle 3D Tech -,"6th of October, Giza, Egypt",1 month ago,Full TimeOn-siteExperienced · 2+ Yrs of Exp · males_only · Installation/Maintenance/Repair · 3D Printing · Machines · Maintenance
Senior Data Analyst,Xceed Contact Center -,"Cairo, Egypt",16 days ago,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas
AI Engineer - Client Engineering KSA,IBM -,"Riyadh, Saudi Arabia",N/A,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
MLOps Engineer,Confidential -,"Cairo, Egypt",N/A,Full TimeOn-siteExperienced · 5 - 9 Yrs of Exp · IT/Software Development · Cloudera · MLOps · MLflow · Hadoop
Software Engineer (AI & Data Analytics),AlZamel for consultation -,"Maadi, Cairo, Egypt",N/A,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Cloud · Software Engineering · Software Development · Java · Programming · AWS
